timestamp,temperature
2025-01-01 15:00:00,70.4
2025-01-01 15:01:00,70.8
2025-01-01 15:02:00,71.2
2025-01-01 15:03:00,71.6
2025-01-01 15:04:00,72.0
2025-01-01 15:05:00,72.4
2025-01-01 15:06:00,72.8
2025-01-01 15:07:00,73.2
2025-01-01 15:08:00,73.6
2025-01-01 15:09:00,74.0
2025-01-01 15:10:00,74.4
2025-01-01 15:11:00,74.8
2025-01-01 15:12:00,75.2
2025-01-01 15:13:00,75.6
2025-01-01 15:14:00,76.0
2025-01-01 15:15:00,76.4
2025-01-01 15:16:00,76.8
2025-01-01 15:17:00,77.2
2025-01-01 15:18:00,77.6
2025-01-01 15:19:00,78.0
2025-01-01 15:20:00,78.4
2025-01-01 15:21:00,78.8
2025-01-01 15:22:00,79.2
2025-01-01 15:23:00,79.6
2025-01-01 15:24:00,80.0
2025-01-01 15:25:00,80.4
2025-01-01 15:26:00,80.8
2025-01-01 15:27:00,81.2
2025-01-01 15:28:00,81.6
2025-01-01 15:29:00,82.0
2025-01-01 15:30:00,82.4
2025-01-01 15:31:00,82.8
2025-01-01 15:32:00,83.2
2025-01-01 15:33:00,83.6
2025-01-01 15:34:00,84.0
2025-01-01 15:35:00,84.4
2025-01-01 15:36:00,84.8
2025-01-01 15:37:00,85.2
2025-01-01 15:38:00,85.6
2025-01-01 15:39:00,86.0
2025-01-01 15:40:00,86.4
2025-01-01 15:41:00,86.8
2025-01-01 15:42:00,87.2
2025-01-01 15:43:00,87.6
2025-01-01 15:44:00,88.0
2025-01-01 15:45:00,88.4
2025-01-01 15:46:00,88.8
2025-01-01 15:47:00,89.2
2025-01-01 15:48:00,89.6
2025-01-01 15:49:00,90.0
2025-01-01 15:50:00,90.4
2025-01-01 15:51:00,90.8
2025-01-01 15:52:00,91.2
2025-01-01 15:53:00,91.6
2025-01-01 15:54:00,92.0
2025-01-01 15:55:00,92.4
2025-01-01 15:56:00,92.8
2025-01-01 15:57:00,93.2
2025-01-01 15:58:00,93.6
2025-01-01 15:59:00,94.0
2025-01-01 16:00:00,94.4
2025-01-01 16:01:00,94.8
2025-01-01 16:02:00,95.2
2025-01-01 16:03:00,95.6
2025-01-01 16:04:00,96.0
2025-01-01 16:05:00,96.4
2025-01-01 16:06:00,96.8
2025-01-01 16:07:00,97.2
2025-01-01 16:08:00,97.6
2025-01-01 16:09:00,98.0
2025-01-01 16:10:00,98.4
2025-01-01 16:11:00,98.8
2025-01-01 16:12:00,99.2
2025-01-01 16:13:00,99.6
2025-01-01 16:14:00,100.0
2025-01-01 16:15:00,100.4
2025-01-01 16:16:00,100.8
2025-01-01 16:17:00,101.2
2025-01-01 16:18:00,101.6
2025-01-01 16:19:00,102.0
2025-01-01 16:20:00,102.4
2025-01-01 16:21:00,102.8
2025-01-01 16:22:00,103.2
2025-01-01 16:23:00,103.6
2025-01-01 16:24:00,104.0
2025-01-01 16:25:00,103.2
2025-01-01 16:26:00,103.1
2025-01-01 16:27:00,102.0
2025-01-01 16:28:00,101.5
2025-01-01 16:29:00,100.2
2025-01-01 16:30:00,100.1
2025-01-01 16:31:00,99.2
2025-01-01 16:32:00,98.3
2025-01-01 16:33:00,98.1
2025-01-01 16:34:00,97.5
2025-01-01 16:35:00,97.0
2025-01-01 16:36:00,97.0
2025-01-01 16:37:00,96.8
2025-01-01 16:38:00,96.5
2025-01-01 16:39:00,96.3
2025-01-01 16:40:00,96.1
2025-01-01 16:41:00,95.8
2025-01-01 16:42:00,95.7
2025-01-01 16:43:00,95.6
2025-01-01 16:44:00,95.5
2025-01-01 16:45:00,93.2
2025-01-01 16:46:00,92.5
2025-01-01 16:47:00,92.1
2025-01-01 16:48:00,92.0
2025-01-01 16:49:00,91.8
2025-01-01 16:50:00,91.7
2025-01-01 16:51:00,91.5
2025-01-01 16:52:00,91.4
2025-01-01 16:53:00,91.3
2025-01-01 16:54:00,91.2
2025-01-01 16:55:00,91.1
2025-01-01 16:56:00,91.0
2025-01-01 16:57:00,91.0
2025-01-01 16:58:00,90.5
2025-01-01 16:59:00,90.2
2025-01-01 17:00:00,89.8
2025-01-01 17:01:00,89.6
2025-01-01 17:02:00,88.9
2025-01-01 17:03:00,87.5
2025-01-01 17:04:00,87.2
2025-01-01 17:05:00,87.1
2025-01-01 17:06:00,86.8
2025-01-01 17:07:00,86.7
2025-01-01 17:08:00,86.5
2025-01-01 17:09:00,86.4
2025-01-01 17:10:00,86.2
2025-01-01 17:11:00,86.1
2025-01-01 17:12:00,85.9
2025-01-01 17:13:00,85.7
2025-01-01 17:14:00,85.6
2025-01-01 17:15:00,84.8
2025-01-01 17:16:00,84.3
2025-01-01 17:17:00,84.2
2025-01-01 17:18:00,83.9
2025-01-01 17:19:00,83.2
2025-01-01 17:20:00,82.1
2025-01-01 17:21:00,81.5
2025-01-01 17:22:00,81.0
2025-01-01 17:23:00,80.8
2025-01-01 17:24:00,79.5
2025-01-01 17:25:00,78.5
2025-01-01 17:26:00,77.5
2025-01-01 17:27:00,76.8
2025-01-01 17:28:00,75.8
2025-01-01 17:29:00,75.6
2025-01-01 17:30:00,75.2
2025-01-01 17:31:00,75.1
2025-01-01 17:32:00,74.9
2025-01-01 17:33:00,74.8
2025-01-01 17:34:00,74.5
2025-01-01 17:35:00,74.3
2025-01-01 17:36:00,74.1
2025-01-01 17:37:00,74.0
2025-01-01 17:38:00,73.8
2025-01-01 17:39:00,73.6
2025-01-01 17:40:00,73.4
2025-01-01 17:41:00,73.1
2025-01-01 17:42:00,72.8
2025-01-01 17:43:00,72.5
2025-01-01 17:44:00,72.3
2025-01-01 17:45:00,72.1
2025-01-01 17:46:00,72.0
2025-01-01 17:47:00,71.8
2025-01-01 17:48:00,71.6
2025-01-01 17:49:00,71.4
2025-01-01 17:50:00,71.3
2025-01-01 17:51:00,71.0
2025-01-01 17:52:00,70.8
2025-01-01 17:53:00,70.6
2025-01-01 17:54:00,70.5
2025-01-01 17:55:00,70.3
2025-01-01 17:56:00,69.9
2025-01-01 17:57:00,69.8
2025-01-01 17:58:00,69.7
2025-01-01 17:59:00,69.6
2025-01-01 18:00:00,69.5
2025-01-01 18:01:00,69.4
2025-01-01 18:02:00,69.3
2025-01-01 18:03:00,69.2
2025-01-01 18:04:00,69.1
2025-01-01 18:05:00,69.0
2025-01-01 18:06:00,68.8
2025-01-01 18:07:00,68.7
2025-01-01 18:08:00,68.6
2025-01-01 18:09:00,68.5
2025-01-01 18:10:00,68.4
2025-01-01 18:11:00,68.2
2025-01-01 18:12:00,68.1
2025-01-01 18:13:00,67.8
2025-01-01 18:14:00,67.7
2025-01-01 18:15:00,67.6
2025-01-01 18:16:00,67.5
2025-01-01 18:17:00,67.4
2025-01-01 18:18:00,67.3
2025-01-01 18:19:00,67.2
2025-01-01 18:20:00,67.1
2025-01-01 18:21:00,67.0
2025-01-01 18:22:00,66.9
2025-01-01 18:23:00,66.8
2025-01-01 18:24:00,66.7
2025-01-01 18:25:00,66.6
2025-01-01 18:26:00,66.5
2025-01-01 18:27:00,66.4
2025-01-01 18:28:00,66.3
2025-01-01 18:29:00,66.2
2025-01-01 18:30:00,66.1
2025-01-01 18:31:00,66.0
2025-01-01 18:32:00,65.9
2025-01-01 18:33:00,65.8
2025-01-01 18:34:00,65.4
2025-01-01 18:35:00,65.3
2025-01-01 18:36:00,64.9
2025-01-01 18:37:00,64.8
2025-01-01 18:38:00,64.7
2025-01-01 18:39:00,64.6
2025-01-01 18:40:00,64.5
2025-01-01 18:41:00,64.3
2025-01-01 18:42:00,64.2
2025-01-01 18:43:00,64.1
2025-01-01 18:44:00,64.0
2025-01-01 18:45:00,63.9
2025-01-01 18:46:00,63.7
2025-01-01 18:47:00,63.6
2025-01-01 18:48:00,63.5
2025-01-01 18:49:00,63.4
2025-01-01 18:50:00,63.3
2025-01-01 18:51:00,63.2
2025-01-01 18:52:00,63.1
2025-01-01 18:53:00,63.0
2025-01-01 18:54:00,62.0
2025-01-01 18:55:00,61.8
2025-01-01 18:56:00,61.4
2025-01-01 18:57:00,61.3
2025-01-01 18:58:00,61.2
2025-01-01 18:59:00,61.1
